2026-03-05 19:04:10.981{Asia/Shanghai} [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.10 with PID 291035 (/home/srhskah/SpB/curling-masters/build/classes/java/main started by srhskah in /home/srhskah/SpB/curling-masters)
2026-03-05 19:04:10.984{Asia/Shanghai} [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.1.10, Spring v6.0.18
2026-03-05 19:04:10.985{Asia/Shanghai} [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-05 19:04:11.766{Asia/Shanghai} [main] DEBUG o.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2026-03-05 19:04:12.305{Asia/Shanghai} [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-05 19:04:12.313{Asia/Shanghai} [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-03-05 19:04:12.316{Asia/Shanghai} [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-05 19:04:12.317{Asia/Shanghai} [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-05 19:04:12.408{Asia/Shanghai} [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-05 19:04:12.410{Asia/Shanghai} [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1365 ms
2026-03-05 19:04:12.748{Asia/Shanghai} [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.16.3 by Redgate
2026-03-05 19:04:12.748{Asia/Shanghai} [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-03-05 19:04:12.748{Asia/Shanghai} [main] INFO  o.f.c.i.license.VersionPrinter - 
2026-03-05 19:04:12.755{Asia/Shanghai} [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-05 19:04:12.906{Asia/Shanghai} [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@11c78080
2026-03-05 19:04:12.908{Asia/Shanghai} [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-05 19:04:12.942{Asia/Shanghai} [main] INFO  o.f.c.i.d.base.BaseDatabaseType - Database: jdbc:mysql://localhost:3306/curling_masters (MySQL 8.0)
2026-03-05 19:04:13.244{Asia/Shanghai} [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.045s)
